"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.351091412,      -12.77322396,      -12.88310845,      -12.91018715,      0.1114326324
          0,           0,           1,      -5.062289073,      -2.523593097,      -2.824166549,      -2.797758161,      0.4014801702
          0,           0,           2,       -5.31901799,      -2.927894847,      -3.095609362,      -3.097344436,      0.1450935242
          0,           0,           3,      -5.605199251,      -3.090550909,       -3.26781193,      -3.288481328,     -0.1430019985
          0,           0,           4,      -5.732795661,      -3.098797174,      -3.326805441,      -3.316592436,     -0.2696476071
          0,           0,           5,      -5.652649578,       -3.05377648,      -3.249835854,      -3.259802635,     -0.1921905691
          0,           0,           6,      -5.588196221,      -3.017131075,      -3.232535399,      -3.240644071,     -0.1340051682
          0,           0,           7,      -5.590145568,      -3.021427579,      -3.259242903,      -3.261845704,     -0.1340149004
          0,           0,           8,       -5.66045203,      -3.067524732,      -3.313774309,      -3.298027874,     -0.2002842535
          0,           0,           9,      -5.741470467,      -3.132936771,      -3.390018042,      -3.366741636,     -0.2775527252
          0,           0,          10,      -5.840305495,      -3.217569166,      -3.481731864,      -3.446377845,     -0.3740104481
          0,           0,          11,      -5.940058485,      -3.318663689,      -3.590506061,      -3.556909587,     -0.4725131084
          0,           0,          12,      -6.055954171,      -3.439693008,      -3.711773499,       -3.67611177,     -0.5877511989
          0,           0,          13,      -6.179522739,      -3.574387836,      -3.846168237,      -3.820006425,     -0.7110655198
          0,           0,          14,      -6.320092455,      -3.723516549,      -3.989935507,      -3.967234116,     -0.8515765564
          0,           0,          15,      -6.465634686,      -3.881049159,      -4.142707075,      -4.132348185,      -0.997296578
          0,           0,          16,      -6.624992998,      -4.049237768,      -4.302391386,      -4.295033477,      -1.156891339
          0,           0,          17,       -6.78828072,      -4.222732599,      -4.471005088,      -4.472034119,       -1.32050028
          0,           0,          18,      -6.964461429,      -4.405749385,      -4.645997148,      -4.645437667,      -1.497014206
          0,           0,          19,       -7.14400809,      -4.593696594,      -4.830734635,      -4.834214997,      -1.676947491
          0,           0,          20,       -7.33609769,      -4.790882443,      -5.020440354,      -5.019766179,      -1.869422336
          0,           0,          21,      -7.530591877,      -4.991044415,      -5.216675307,      -5.221370144,      -2.064296918
          0,           0,          22,      -7.735056336,      -5.197246356,        -5.4135093,      -5.417257005,      -2.269030498
          0,           0,          23,      -7.938474855,      -5.401752017,      -5.611905313,      -5.627485511,       -2.47258814
          0,           0,          24,      -8.146573105,      -5.608261699,      -5.808898897,       -5.82792776,      -2.680593976
          0,           0,          25,      -8.348896307,      -5.810235666,      -6.007190603,      -6.039256593,      -2.882748722
          0,           0,          26,      -8.553084719,      -6.014417574,      -6.202688964,      -6.237670561,      -3.086662028
          0,           0,          27,      -8.751128156,      -6.216062447,      -6.402636077,      -6.444289229,      -3.284597017
          0,           0,          28,      -8.955413438,      -6.424963242,      -6.601373756,      -6.640928279,      -3.488860363
